@relation emotions

@attribute sentence string
@attribute category {hp, sd, fr, sp, ne, dg, ag}

@data
' summer experienced ',hp
' night friends! ',ne
' fingers ',ne
' tv ',ne
' hate fucking pills ',dg
' back yesterday california ',ne
' blast california hanging family friends ',hp
' thank feel home ',hp
' :) love ya : ',hp
' friend, grandma planned surprise baby shower ailey saturday ',sp
' thank ',hp
' :) hailey recieved gift cards (because bring plane back home) cute baby clothes toys! ',hp
' thank ',hp
' wonderful yummy cake, fruit treats ',hp
' friend brought cute baby girl, jamie! ',hp
' adorable! ',hp
' played fun baby games caught ',hp
' blast thank friend!!! ',hp
' pics!! ',ne
' thank guys ',hp
' wait ginny, sister friend mom couple months!! ',sd
' love yo ',hp
' lies talking to, going, doin ',dg
' people "hug" puts smile face ',hp
' know parents know, matter ',ne
' care pretty clothes wear ',ne
' amazing ',sp
' love ',hp
' life falling mean online ',sd
' broken toy twelve (i counted) drawn, feel useless ',sd
' started aki-sama xd fun ',hp
' know know ',ne
' article deep-fried coke days ago, itse lf ',dg
' (speaking deep-fried shit, know town texas bar, wrap bacon, deep-fry it? ',dg
' awesome country ',hp
' lovely birthday yesterday alex ',hp
' friends cell-phone contacts ',hp
' warm ',hp
' feel happy feel home ',hp
' oh also, listening book "the time-traveler wife" loving ',hp
' awesome ',hp
' lot family event ',ne
' well, sort ',ne
' speed pretty fast, fast him, easy ',ne
' know stuff moving, ',ne
' 23% sold night ',ne
' ton couple ',hp
' friday saturday nights ',ne
' awesome yesterday ',hp
' ',hp
' mr. dude ',ne
' starting lose ',sd
' night watched mr. legs watching g.h. terse, ear ',ne
' read mr. mike: life work ',ne
' head wmd, hard drive night ',ne
' sadness dept: heard died ',sd
' click york ',ne
' (i 04 ',sp
' strange. ',sp
' burn ',ne
' franco-era washed-out ',sd
' watch click, york minute ',ne
' interview man talks latest career develo pments, dad course remake sholay: msn site ',ne
' "the wonderful gift dad birthday love ofamitabh-abh ishek09.jpg ',hp
' close second. ',ne
' "what fabulous gift dad birthday ',hp
' fantastic ',hp
' well, ',hp
' indian cinema west ',ne
' precisely that.&quot ',ne
' family truly ',hp
' matter pride indian dad ci nema-savvy country france. ',hp
' "i think wonderful idea remake sholay ',hp
' right carry vision area ',ne
' "therell ',ne
' is, knowing abilities close pretty sure uncle proud film makes. ',hp
' coming awesome ',hp
' technical work lighting ', ne 
' stand know ',ne
' rest angry, drunken ',ag
' know know understand ',ne
' wants call happy answer ',hp
' hey ! ',ne
' lol ',hp
' howland friend danced night away.most friends awsome ',hp
' people cool ',hp
' slow songs dance friends gradu ated year.hes awsome danced alot together!luvs ',hp
' cold tho ',ne
' dance awsome.the music cool ',hp
' rock taste happy dance floor on.lol ',hp
' howland people knew (drew one) pret ty cool ',hp
' haha cha cha close ',hp
' bigger dance floor ',ne
' loved night! ',hp
' ha ',hp
' lyssa,me,matt,and find eat open 1 mornin giant bought junk food haha ',hp
' homecoming ',ne
' ammusing.hehehe.but yea fun ong time! ',hp
' telling wonderful night lol ',hp
' ill pics ',ne
' grace born wendsday, october 11, 2006 11:48 ',ne
' believe here!! ',sp
' doctor tuesday, cleaned house, played soccer levi, amanda sit talk moved ',ne
' look me. think alot dan iel ',ne
' :) levi exciting big brother, thinks sooooo cool ' ,hp
' putting pictures eye amazing grace!! ',ne
' ryan school ',ne
' graduate career nursing ',ne
' life born love love teach people taught ',hp
' amazing home ',hp
' thats know know ',ne
' luckily ',hp
' yesterday, tournament ',ne
' ',hp
' morning beat ',ne
' pretty tournament ',hp
' guess ',ne
' happy ',hp
' chill team house ',hp
' dog sooo cute ',ne
' heh ',hp
' ',ne
' know ',ne
' volleyball ',sd
' photobucket - video image hostin ',ne
' means screen ',ne
' spend night irvine eye place ',ne
' woke dream like, "oh crap, no, back" manag back ',ag
' o_ ',ne
' dream kinda unsure, happy (for hope) ',hp
' odd though, care ',sp
' hey ',ne
' totally wake up, ',ne
' yeah, share ',ne
' ;_ ',ne
' rd, sweet lady hair ',ne
' ',dg
' reading amazing adventures &amp; ',sp
' copy birthday ',ne
' enjoying ',hp
' hot awesome bit night ',hp
' seriously took 4 hours fall asleep half-hour 10 min utes episodes ',ne
' hike ',ne
' think pain attending reception worth face aga ',sd
' danced ',ne
' ',sd
' missed ',sd
' sitting crying help cause run hold night rock ',sd
' stuff imagine dream ',ne
' home ',ne
' ',sd
' jubans, awesome ',hp
' schedule guy exactly sure job work ',ne
' work food eat awesome ',hp
' german lit test ',ne
' quiz sucks ',dg
' oh bad nervous ',fr
' truly character orgy shows. ',fr
' well, orgy, amusing ',hp
' shock ',sp
' books classical greek art room, waiting classical ',ne
' left library greek table, finished jason ',ne
' amanda, latin, "to love" ',ne
' ',ne
' slight find amusing: jason played year, playing night dream ',hp
' sock fun theatre company, ',hp
' point ',ne
' ',ne
' awesome ',hp
' bought latin ',ne
' spent couple hours trip night/this morning early ', ne 
' earth, sky feel real ',ne
' heh ',ne
' style buddhism, wrong, monkey god, truth ',ne
' ',ne
' actually, think dropped night ',ne
' adam state ',ne
' broke whoa, working ',ne
' talking phone daily, excited baby ',hp
' awesome ',hp
' snow october ',sp
' snow years october wra head ',sp
' missing blue stars, sad leave early ',sd
' guys ',sd
' trying move upstairs, looks tu esday ',ne
' hope worlds ',ne
' honestly views world live changed schoo ',ne
' remember impressed, youth parishes area , groups, social status person ',ne
' compared group ',ne
' help local &amp; fishes, volunteer work school ur parish, traveling youth groups ',ne
' remember endless ',ne
' see, trying develop faith, attending parishes, work group ',ne
' sadly ',sd
' gift life ',ne
' listening speak, presence known answer looking dawn ', ne 
' weight carry, ',sd
' happened ',ne
' ',ne
' band ',ne
' ',ne
' jolt real loud jump ',sp
' afraid ',fr
' hope learn play hope enjoying hims elf ',hp
' matter pain cause rest family ',sd
' happy ',hp
' nice hot bottle help ',ne
' decided work ',ne
' ',ne
' vegas lot fun ',hp
' reception blast ',hp
' champagne, music, trying catch damn ',hp
' (didn catch by) imagine this: bro neck teeth "girls wanna fun" background ',hp
' shooting regular desert mountain ',ne
' (look pics) ',ne
' add jack drive real party! ',hp
' bro leaving iraq and, well, know goes ',ne
' sean put it, 4 5 americans die, put perspective me. know safe home piece, scary thought kinda background mind ',fr
' hates everybody, lies, talks shit backs, treats people shit ',dg
' mother truly wants murder father, pissed agree ',ag
' ',dg
' ya, fucked shit ',dg
' =) crappy ',dg
' know ',ne
' basically, focus staying busy staying happy ',hp
' so, "make smile" foundation", party ',hp
' school home homecoming parade ',ne
' w/ v-ball ',ne
' sooo fun ',hp
' lol ',hp
' ;) ',hp
' wal-mart walked ',ne
' :) game ',ne
' totally awesome!!! ',hp
' lol ',hp
' points ',hp
' yay!!! ',hp
' lol ',hp
' game dance night life!! ', hp 
' awesome ',hp
' cant explain words fun ',hp
' ;) ',hp
' honestly ever!!! ',hp
' soooo sad b/c ',sd
' :( blast!!! ',hp
' lol ',hp
' yea ',ne
' dont know love w/ joe ',hp
' :) *sighs* lol ',hp
' hanging w/ matt totally awesome 2!! ',hp
' love all! ',hp
' world ',ne
' exciting, ',hp
' so, ',ne
' leave ',ne
' start world is. goin work day, headed hostels berlin pick people tour, bring back gate tour starts ',ne
' preparing leave, guy yelled wait, hello ',ne
' took backpack tour ',ne
' catching up, night ',hp
' strange randomly run people years, hole-in-the-walls europe ',sp
' fun ',hp
' piece play ',hp
' incredibly simple, cutting huge cast perfor mers ',sp
' moments remind theatre ',ne
' lucky able stay friends cut t, side london life ',hp
' sooooo fun ',hp
' major own, theater nigh ',ne
' ',dg
' horrible ',dg
' horribly acted, horribly directed, weak ',dg
' ',dg
' hours ',dg
' wanted leave intermission, enjoying (should sign) stayed ',hp
' guess took know british capable producing awful work ',dg
' london theater ',ne
' amazing ',sp
' performers incredible, played geoffrey, fro fresh prince ',sp
' hilarious, love ',hp
' time, fun ',hp
' loved london ',hp
' loved free museums ',hp
' british museum ',ne
' soooo monuments, statues communist ' ,ne 
' reading this, spent eastern talking communist ',ne
' part, statues donated ',hp
' ',sp
' wellington, watch ',ne
' make: world cup entire soccer game start finish ',ne
' people change day, instance period 90,000 city, hands german ',sp
' brazilians, everywhere, singing-clapping-dancing-taking pi ctures, course brits cock-eyed drinking songs ',hp
' loads fun ',hp
' tickets games, group friends alway cafe bar playing watch ',ne
' french cafe france-swiss game, bar played, drank brazilians, etc. hilarious part fighting ',hp
' interesting emerged cup ',sp
' explaining: world cup began, german street s, called radical right ',ne
' worth agree them, nervous ',fr
' ',ne
' people genuinely excited supporting national team, pride ',hp
' newfound shared ',hp
' course idea germans ',ne
' june training work lead tours camp, starte month ',ne
' dark history place imagine retelling hat information, trying put historical ',ne
