@relation emotions

@attribute sentence string
@attribute category {hp, sd, fr, sp, ne, dg, ag}

@data
' summer experienced 000000 ',hp
' night friends! 000100 ',ne
' fingers 000000 ',ne
' tv 000000 ',ne
' hate fucking pills 200000 ',dg
' back yesterday california 000000 ',ne
' blast california hanging family friends 000000 ',hp
' thank feel home 000000 ',hp
' :) love ya : 000400 ',hp
' friend, grandma planned surprise baby shower ailey saturday 000002 ',sp
' thank 000000 ',hp
' :) hailey recieved gift cards (because bring plane back home) cute baby clothes toys! 000000 ',hp
' thank 000000 ',hp
' wonderful yummy cake, fruit treats 000003 ',hp
' friend brought cute baby girl, jamie! 000000 ',hp
' adorable! 000000 ',hp
' played fun baby games caught 000000 ',hp
' blast thank friend!!! 000000 ',hp
' pics!! 000000 ',ne
' thank guys 000000 ',hp
' wait ginny, sister friend mom couple months!! 000000 ',sd
' love yo 000400 ',hp
' lies talking to, going, doin 000000 ',dg
' people "hug" puts smile face 000000 ',hp
' know parents know, matter 000000 ',ne
' care pretty clothes wear 000000 ',ne
' amazing 000001 ',sp
' love 000400 ',hp
' life falling mean online 000000 ',sd
' broken toy twelve (i counted) drawn, feel useless 000000 ',sd
' started aki-sama xd fun 000000 ',hp
' know know 000000 ',ne
' article deep-fried coke days ago, itse lf 000000 ',dg
' (speaking deep-fried shit, know town texas bar, wrap bacon, deep-fry it? 000000 ',dg
' awesome country 000002 ',hp
' lovely birthday yesterday alex 000400 ',hp
' friends cell-phone contacts 000000 ',hp
' warm 000100 ',hp
' feel happy feel home 000500 ',hp
' oh also, listening book "the time-traveler wife" loving 000100 ',hp
' awesome 000002 ',hp
' lot family event 000000 ',ne
' well, sort 000000 ',ne
' speed pretty fast, fast him, easy 000000 ',ne
' know stuff moving, 000000 ',ne
' 23% sold night 000100 ',ne
' ton couple 000000 ',hp
' friday saturday nights 000100 ',ne
' awesome yesterday 000002 ',hp
' 000000 ',hp
' mr. dude 000000 ',ne
' starting lose 000000 ',sd
' night watched mr. legs watching g.h. terse, ear 000100 ',ne
' read mr. mike: life work 000000 ',ne
' head wmd, hard drive night 000100 ',ne
' sadness dept: heard died 000070 ',sd
' click york 000000 ',ne
' (i 04 000000 ',sp
' strange. 000000 ',sp
' burn 000000 ',ne
' franco-era washed-out 000000 ',sd
' watch click, york minute 000000 ',ne
' interview man talks latest career develo pments, dad course remake sholay: msn site 000000 ',ne
' "the wonderful gift dad birthday love ofamitabh-abh ishek09.jpg 000403 ',hp
' close second. 000200 ',ne
' "what fabulous gift dad birthday 000000 ',hp
' fantastic 000001 ',hp
' well, 000000 ',hp
' indian cinema west 000000 ',ne
' precisely that.&quot 000000 ',ne
' family truly 000000 ',hp
' matter pride indian dad ci nema-savvy country france. 000200 ',hp
' "i think wonderful idea remake sholay 000003 ',hp
' right carry vision area 000000 ',ne
' "therell 000000 ',ne
' is, knowing abilities close pretty sure uncle proud film makes. 000200 ',hp
' coming awesome 000002 ',hp
' technical work lighting 000000 ', ne 
' stand know 000000 ',ne
' rest angry, drunken 100000 ',ag
' know know understand 000000 ',ne
' wants call happy answer 000500 ',hp
' hey ! 000000 ',ne
' lol 000000 ',hp
' howland friend danced night away.most friends awsome 000100 ',hp
' people cool 000000 ',hp
' slow songs dance friends gradu ated year.hes awsome danced alot together!luvs 000021 ',hp
' cold tho 000000 ',ne
' dance awsome.the music cool 000000 ',hp
' rock taste happy dance floor on.lol 000600 ',hp
' howland people knew (drew one) pret ty cool 000000 ',hp
' haha cha cha close 000200 ',hp
' bigger dance floor 000000 ',ne
' loved night! 000500 ',hp
' ha 000000 ',hp
